"#","RefDes","Value","Part"
"1","A0","","Part 1"
"2","A1","","Part 1"
"3","C1","22uF (bulk)","CL10A226MP8NUNE"
"4","C2","470pF 10% 50V X7R","CL05B471KB5NNNC"
"5","C3","3300pF 250V","GRM21AR72E332KW01D"
"6","C4","0.1uF","CL05B104KO5NNNC"
"7","C5","0.01uF","CL05B103KA5NNNC"
"8","D1","200V 50ns","BAV21WS-7-F"
"9","D2","","PMEG3005ELD315"
"10","i2cR","","Part 1"
"11","J1","","Part 1"
"12","J2","","Part 1"
"13","J3","","Part 1"
"14","J5","","Part 1"
"15","J6","","Part 1"
"16","J7","","Part 1"
"17","J8","","Part 1"
"18","J9","","Part 1"
"19","J10","","Part 1"
"20","J11","","Part 1"
"21","J12","","Part 1"
"22","L1","","GA3250-BL_"
"23","R1","20","ERJ-2RKF20R0X"
"24","R2","4.7k","EXB-24V472JX"
"25","R3","10k","EXB-24V103JX"
"26","R4","33k","ERJ-2GEJ333X"
"27","U1","","MAX14521EETG+"
"28","U2","","Part 1"
"29","U3","","Part 1"
